Filename,Camera,Model,Detected_Diameter_mm,Status
cam1__YCA__44909__20260410_215055_674490.jpg,cam1,YCA,13.18,2
cam2__YED__26367__20260410_215146_544401.jpg,cam2,YED,14.94,2
cam1__YED__26367__20260410_215146_515224.jpg,cam1,YED,15.18,2
cam2__YED__57796__20260410_215241_221941.jpg,cam2,YED,15.18,2
cam1__YED__57796__20260410_215241_078578.jpg,cam1,YED,15.18,2
cam2__YCA__5671__20260410_215334_461340.jpg,cam2,YCA,13.06,2
cam1__YCA__5671__20260410_215334_589913.jpg,cam1,YCA,13.06,2
cam2__YED__57797__20260410_215439_182404.jpg,cam2,YED,15.18,2
cam1__YED__57797__20260410_215439_704920.jpg,cam1,YED,15.18,2
cam2__YED__26368__20260410_215607_828278.jpg,cam2,YED,15.18,2
cam1__YED__26368__20260410_215607_851691.jpg,cam1,YED,15.18,2
cam2__YCA__44910__20260410_215659_414493.jpg,cam2,YCA,12.71,1
cam1__YCA__44910__20260410_215659_883307.jpg,cam1,YCA,13.18,2
cam2__YED__26369__20260410_215749_569287.jpg,cam2,YED,14.94,2
cam1__YED__26369__20260410_215749_729827.jpg,cam1,YED,15.18,2
cam1__YCA__44911__20260410_215846_099675.jpg,cam1,YCA,13.18,2
cam2__YCA__44911__20260410_215846_018968.jpg,cam2,YCA,13.18,2
cam2__YED__26370__20260410_215937_421424.jpg,cam2,YED,14.94,2
cam1__YED__26370__20260410_215937_444295.jpg,cam1,YED,15.18,2
cam2__YED__57798__20260410_220802_350436.jpg,cam2,YED,15.18,2
cam1__YED__57798__20260410_220802_440647.jpg,cam1,YED,15.06,2
cam2__YED__26371__20260410_220854_846889.jpg,cam2,YED,15.18,2
cam1__YED__26371__20260410_220854_712945.jpg,cam1,YED,15.18,2
cam2__YCA__44912__20260410_220953_603014.jpg,cam2,YCA,12.71,1
cam2__YED__26372__20260410_221044_841359.jpg,cam2,YED,15.18,2
cam2__YCA__44913__20260410_221138_372039.jpg,cam2,YCA,12.71,1
cam1__YCA__44912__20260410_220953_698778.jpg,cam1,YCA,N/A,0
cam2__YED__26373__20260410_221230_163072.jpg,cam2,YED,14.94,2
